id,neighbourhood,street,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,Q1 2019 AVG,Q2 2019 AVG,Q3 2019 AVG,Q4 2019 AVG,Q1 2020 AVG,Q2 2020 AVG,Q3 2020 AVG
14842,Portobello,Dublin; Dublin City; Ireland,Dublin 8,Dublin; Ireland,f,House,Entire home/apt,3,1,1,79.33,0.00,39.66,31.00,31.00,0.00,0.00
44077,Churchtown,Churchtown; Ireland,Dublin 14,Churchtown; Ireland,t,Bed and breakfast,Private room,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,55.00
68483,Temple Bar,Dublin; County Dublin; Ireland,Dublin 2,Dublin; Ireland,t,Apartment,Entire home/apt,2,2,2,88.00,88.00,0.00,0.00,0.00,0.00,0.00
69785,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Cabin,Entire home/apt,4,2,2,123.33,130.00,86.66,0.00,0.00,0.00,0.00
71813,Temple Bar,Dublin; Leinster; Ireland,Dublin 2,Dublin; Ireland,t,Apartment,Entire home/apt,6,2,4,150.00,0.00,0.00,0.00,0.00,0.00,0.00
85148,,Templeogue; Dublin; Ireland,,Templeogue; Ireland,t,House,Private room,2,1,1,30.00,30.00,30.00,30.00,30.00,30.00,30.00
85156,Churchtown,Churchtown; Ireland,Dublin 14,Churchtown; Ireland,t,Bed and breakfast,Private room,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,53.66
97259,Kilmainham,Dublin; Dublin; Ireland,8.00,Dublin; Ireland,t,Apartment,Private room,2,1,1,60.00,60.00,20.00,0.00,0.00,0.00,0.00
121030,Sandymount,Dublin; Ireland,Dublin 4,Dublin; Ireland,t,House,Private room,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00
159889,Beaumont,Dublin; Ireland,Dublin 9,Dublin; Ireland,t,House,Private room,1,3,4,30.00,29.33,19.66,29.00,29.00,29.00,35.00
162809,Blackrock,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Townhouse,Private room,6,2,4,55.00,55.00,55.00,55.00,55.00,55.00,63.66
163398,Kilmainham,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,2,85.00,85.00,0.00,0.00,0.00,0.00,0.00
165828,Kilmainham,Dublin; Ireland,Dublin 8,Dublin; Ireland,t,Apartment,Entire home/apt,5,1,1,147.00,147.00,147.00,147.00,147.00,147.00,134.33
165829,Kilmainham,Dublin; Ireland,Dublin 8,Dublin; Ireland,t,Apartment,Entire home/apt,5,1,3,135.00,135.00,135.00,135.00,135.00,135.00,123.33
178860,Portobello,Dublin; Ireland,Dublin 8,Dublin; Ireland,t,House,Private room,2,1,1,56.00,56.00,56.00,56.00,56.00,56.00,72.00
181823,Sandymount,Dublin; Ireland,Dublin 4,Dublin; Ireland,t,House,Private room,2,1,1,56.33,75.00,75.00,75.00,75.00,75.00,75.00
