id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price
14596, Dublin 4; Ireland, Ballsbridge, , Dublin 4; Ireland, t, Apartment, Entire home/apt, 3, 1, 2, 115.00
44077, Churchtown; Ireland, Churchtown, Dublin 14, Churchtown; Ireland, t, Bed and breakfast, Private room, 2, 1, 2, 50.00
68483, Dublin; County Dublin; Ireland, Temple Bar, Dublin 2, Dublin; Ireland, t, Apartment, Entire home/apt, 2, 2, 2, 88.00
69785, Dublin; Dublin; Ireland, Ballsbridge, , Dublin; Ireland, f, Cabin, Entire home/apt, 4, 2, 2, 130.00
71813, Dublin; Leinster; Ireland, Temple Bar, Dublin 2, Dublin; Ireland, t, Apartment, Entire home/apt, 6, 2, 4, 150.00
85148, Templeogue; Dublin; Ireland, Templeogue, , Templeogue; Ireland, t, House, Private room, 2, 1, 1, 30.00
85156, Churchtown; Ireland, Churchtown, Dublin 14, Churchtown; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 50.00
97259, Dublin; Dublin; Ireland, Kilmainham, 8, Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 60.00
121030, Dublin; Ireland, Sandymount, Dublin 4, Dublin; Ireland, t, House, Private room, 2, 1, 1, 55.00
159889, Dublin; Ireland, Beaumont, Dublin 9, Dublin; Ireland, t, House, Private room, 1, 3, 4, 30.00
162809, Dublin; Dublin; Ireland, Blackrock, , Dublin; Ireland, f, Townhouse, Private room, 6, 2, 4, 55.00
163398, Dublin; Dublin; Ireland, Kilmainham, , Dublin; Ireland, t, Apartment, Entire home/apt, 2, 1, 2, 85.00
165828, Dublin; Ireland, Inchicore, Dublin 8, Dublin; Ireland, t, Apartment, Entire home/apt, 5, 1, 1, 147.00
165829, Dublin; Ireland, Inchicore, Dublin 8, Dublin; Ireland, t, Apartment, Entire home/apt, 5, 1, 3, 135.00
178860, Dublin; Ireland, Portobello, Dublin 8, Dublin; Ireland, t, House, Private room, 2, 1, 1, 56.00
181823, Dublin; Ireland, Sandymount, Dublin 4, Dublin; Ireland, t, House, Private room, 2, 1, 1, 75.00
237465, Dublin; Ireland, Raheny, Dublin 13, Dublin; Ireland, t, Apartment, Entire home/apt, 3, 1, 2, 55.00
245893, Lucan; County Dublin; Ireland, Clondalkin, , Lucan; Ireland, t, House, Private room, 2, 1, 1, 45.00
245903, Lucan; County Dublin; Ireland, , , Lucan; Ireland, t, Bed and breakfast, Private room, 1, 1, 1, 30.00
246560, Dublin; Dublin; Ireland, Portobello, , Dublin; Ireland, t, Townhouse, Private room, 2, 1, 1, 59.00
254941, Blackrock; Dublin; Ireland, Blackrock, , Blackrock; Ireland, t, House, Private room, 2, 1, 1, 48.00
261248, Dun Laoghaire; Ireland, , , Dun Laoghaire; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 36.00
266856, Dun Laoghaire; Ireland, , , Dun Laoghaire; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 36.00
266908, Dun Laoghaire; Ireland, , , Dun Laoghaire; Ireland, t, Bed and breakfast, Private room, 2, 1, 2, 36.00
266935, Dun Laoghaire; Ireland, , , Dun Laoghaire; Ireland, t, Bed and breakfast, Private room, 6, 1, 4, 80.00
272650, Dublin; Ireland, Drumcondra, Dublin 9, Dublin; Ireland, t, Townhouse, Private room, 2, 1, 2, 85.00
275425, Sandymount; Dublin; Ireland, Sandymount, , Sandymount; Ireland, t, House, Entire home/apt, 6, 2, 2, 350.00
286635, Dublin; County Dublin; Ireland, Santry, , Dublin; Ireland, t, Bed and breakfast, Private room, 3, 1, 3, 59.00
292757, Dublin; Ireland, Castleknock, D15 C6YT, Dublin; Ireland, f, House, Entire home/apt, 9, 4, 5, 120.00
302554, Dublin; County Dublin; Ireland, City Centre, Dublin 7, Dublin; Ireland, t, Apartment, Entire home/apt, 5, 1, 3, 180.00
302634, Dublin; County Dublin; Ireland, Stoneybatter/Arbour Hill, Dublin 7, Dublin; Ireland, t, Apartment, Entire home/apt, 3, 1, 2, 100.00
314639, Dublin; County Dublin; Ireland, Santry, Dublin 9, Dublin; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 59.00
314640, Dublin; County Dublin; Ireland, Santry, Dublin 9, Dublin; Ireland, t, Bed and breakfast, Private room, 2, 1, 2, 59.00
314641, Dublin; County Dublin; Ireland, Santry, Dublin 9, Dublin; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 59.00
315698, Irishtown; Dublin; Ireland, Ringsend/Irishtown, D4, Irishtown; Ireland, t, Apartment, Private room, 2, 1, 1, 44.00
333950, Dublin; County Dublin; Ireland, Old City, Dublin 8, Dublin; Ireland, t, Townhouse, Private room, 2, 1, 1, 49.00
345398, Stillorgan; County Dublin; Ireland, Blackrock, , Stillorgan; Ireland, t, House, Private room, 2, 1, 1, 50.00
346996, Dublin; County Dublin; Ireland, Clontarf, Dublin 3, Dublin; Ireland, t, Bed and breakfast, Private room, 4, 1, 1, 30.00
365854, Dublin; County Dublin; Ireland, City Centre, Dublin 1, Dublin; Ireland, t, Apartment, Entire home/apt, 3, 1, 1, 85.00
374792, Dublin; County Dublin; Ireland, Inchicore, Dublin 8, Dublin; Ireland, t, Apartment, Entire home/apt, 4, 1, 1, 135.00
386860, Dublin; County Dublin; Ireland, Old City, Dublin 8, Dublin; Ireland, t, House, Entire home/apt, 4, 2, 2, 150.00
393631, Dublin; Dublin; Ireland, East Wall, , Dublin; Ireland, t, House, Entire home/apt, 6, 3, 3, 180.00
399005, Dun Laoghaire; County Dublin; Ireland, , Dublin 18, Dun Laoghaire; Ireland, f, House, Entire home/apt, 6, 3, 3, 179.00
399579, Dun Laoghaire; County Dublin; Ireland, , Dublin 18, Dun Laoghaire; Ireland, t, House, Entire home/apt, 6, 3, 3, 308.00
419987, Dublin; County Dublin; Ireland, Cabra, Dublin 7, Dublin; Ireland, t, Apartment, Entire home/apt, 6, 1, 3, 200.00
420297, Churchtown; Ireland, Churchtown, Dublin 14, Churchtown; Ireland, t, Bed and breakfast, Private room, 2, 1, 2, 50.00
421239, Glasnevin; Dublin; Ireland, Dublin Industrial Estate, D11, Glasnevin; Ireland, t, Bed and breakfast, Private room, 2, 1, 2, 85.00
424596, Dublin; County Dublin; Ireland, City Centre, , Dublin; Ireland, t, Loft, Entire home/apt, 3, 0, 1, 110.00
425164, Dublin; County Dublin; Ireland, Portobello, Dublin 8, Dublin; Ireland, t, House, Private room, 3, 1, 2, 110.00
426326, Dublin; County Dublin; Ireland, Beaumont, Dublin 9, Dublin; Ireland, t, House, Private room, 3, 1, 2, 38.00
427077, Dublin; County Dublin; Ireland, City Centre, , Dublin; Ireland, t, Loft, Entire home/apt, 3, 0, 1, 110.00
427495, Dublin; County Dublin; Ireland, Beaumont, Dublin 9, Dublin; Ireland, t, House, Private room, 2, 1, 1, 38.00
446070, Dublin; Ireland, Stoneybatter/Arbour Hill, Dublin 7, Dublin; Ireland, f, Townhouse, Entire home/apt, 3, 2, 2, 105.00
449556, North County Dublin; Dublin; Ireland, , K67EA03, North County Dublin; Ireland, t, Bed and breakfast, Private room, 4, 1, 3, 145.00
451611, Dublin 8; Dublin; Ireland, Old City, D8, Dublin 8; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 83.00
454183, Dublin; County Dublin; Ireland, Cabra, Dublin 7, Dublin; Ireland, t, Loft, Entire home/apt, 3, 1, 2, 80.00
460461, Dublin; Dublin; Ireland, Santry, , Dublin; Ireland, f, Apartment, Entire home/apt, 6, 3, 3, 200.00
468082, Lucan; County Dublin; Ireland, , , Lucan; Ireland, t, House, Private room, 6, 3, 4, 70.00
497136, Dublin; County Dublin; Ireland, Sandymount, Dublin 4, Dublin; Ireland, t, House, Private room, 2, 1, 1, 55.00
519416, Dublin; Dublin; Ireland, Smithfield, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 50.00
521746, Swords; County Dublin; Ireland, , , Swords; Ireland, t, House, Private room, 2, 1, 2, 41.00
522667, Dublin; County Dublin; Ireland, City Centre, , Dublin; Ireland, t, Loft, Entire home/apt, 3, 1, 1, 110.00
526767, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, t, Loft, Entire home/apt, 4, 0, 2, 140.00
536320, Dublin; County Dublin; Ireland, City Centre, Dublin 7, Dublin; Ireland, t, Loft, Private room, 2, 1, 1, 50.00
547945, Dublin; County Dublin; Ireland, Phibsborough, Dublin 7, Dublin; Ireland, t, House, Private room, 1, 1, 1, 35.00
564274, Stillorgan; County Dublin; Ireland, Dundrum, Dublin 18, Stillorgan; Ireland, t, House, Private room, 2, 2, 1, 29.00
575339, Dublin; County Dublin; Ireland, Docklands, Dublin 2, Dublin; Ireland, f, Apartment, Private room, 2, 1, 2, 50.00
587218, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 80.00
592840, Lucan; County Dublin; Ireland, , , Lucan; Ireland, t, House, Private room, 1, 1, 1, 55.00
595320, Dublin; Ireland, The Liberties, Dublin 8, Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 40.00
610233, Smithfield; Dublin; Ireland, Smithfield, , Smithfield; Ireland, t, House, Entire home/apt, 4, 2, 2, 101.00
623321, Dublin; Dublin; Ireland, Kimmage, , Dublin; Ireland, t, House, Private room, 8, 2, 3, 100.00
626920, Dublin; Dublin; Ireland, Kimmage, , Dublin; Ireland, t, House, Private room, 8, 1, 4, 100.00
630655, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, Loft, Private room, 1, 1, 1, 50.00
631270, Ringsend; Dublin; Ireland, Docklands, , Ringsend; Ireland, t, Townhouse, Private room, 1, 1, 1, 59.00
631455, Ringsend; Dublin; Ireland, Docklands, , Ringsend; Ireland, t, Townhouse, Private room, 1, 0, 3, 230.00
637185, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 93.00
641880, Dublin; Dublin; Ireland, Old City, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 85.00
649740, Dublin 2; Ireland, Old City, , Dublin 2; Ireland, t, Apartment, Private room, 2, 1, 1, 85.00
649854, County Dublin; County Dublin; Ireland, "North City Central/OConnell Street", D01 XN35, County Dublin; Ireland, t, Apartment, Entire home/apt, 4, 1, 3, 85.00
654589, Dublin; Dublin; Ireland, Temple Bar, , Dublin; Ireland, t, Apartment, Entire home/apt, 5, 2, 4, 170.00
690119, Dundrum; Dublin; Ireland, Churchtown, , Dundrum; Ireland, t, Cottage, Entire home/apt, 4, 2, 2, 196.00
692956, Dublin; Dublin; Ireland, , , Dublin; Ireland, t, Guesthouse, Entire home/apt, 2, 1, 1, 55.00
699985, Dublin; Dublin; Ireland, , , Dublin; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 65.00
700142, Dublin; Dublin; Ireland, Rathfarnham, , Dublin; Ireland, f, House, Private room, 2, 1, 3, 80.00
700193, Dublin; Dublin; Ireland, , 16, Dublin; Ireland, f, House, Entire home/apt, 10, 1, 10, 300.00
726011, Skerries; Co. Dublin; Ireland, , 0, Skerries; Ireland, t, Apartment, Entire home/apt, 3, 1, 3, 110.00
726075, Dublin; Ireland, Drumcondra, dublin 9, Dublin; Ireland, t, Townhouse, Entire home/apt, 5, 3, 5, 120.00
727047, Dublin; Dublin 1; Ireland, Temple Bar, 0, Dublin; Ireland, t, Apartment, Entire home/apt, 5, 1, 4, 150.00
727048, Dublin; Dublin 1; Ireland, City Centre, 0, Dublin; Ireland, t, Apartment, Entire home/apt, 3, 1, 2, 120.00
742656, Dublin; Dublin; Ireland, Grafton Street/St. Stephens Green, 2, Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 60.00
747284, Dublin; Dublin; Ireland, Dundrum, , Dublin; Ireland, t, Condominium, Entire home/apt, 4, 2, 2, 89.00
747976, Dublin; Dublin; Ireland, Beaumont, , Dublin; Ireland, t, Townhouse, Private room, 2, 1, 1, 41.00
760070, Dun Laoghaire Rathdown; Dublin; Ireland, , , Dun Laoghaire Rathdown; Ireland, f, House, Private room, 2, 1, 1, 80.00
761912, Malahide; Dublin; Ireland, , , Malahide; Ireland, t, House, Private room, 6, 2, 6, 145.00
816039, Dublin; Ireland, Phoenix Park and Surrounds, 7, Dublin; Ireland, t, Townhouse, Entire home/apt, 12, 4, 7, 238.00
838412, Drumcondra; Dublin; Ireland, Drumcondra, , Drumcondra; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 90.00
870350, Malahide; Dublin; Ireland, , , Malahide; Ireland, f, Apartment, Entire home/apt, 5, 2, 3, 90.00
871174, Clontarf; Dublin; Ireland, Clontarf, , Clontarf; Ireland, t, House, Private room, 3, 1, 3, 27.00
872539, Dublin; Dublin; Ireland, North Strand, , Dublin; Ireland, t, Cottage, Entire home/apt, 4, 2, 2, 200.00
898411, Dublin 2; County Dublin; Ireland, Old City, , Dublin 2; Ireland, t, Apartment, Private room, 2, 1, 1, 75.00
899921, Drumcondra; County Dublin; Ireland, Drumcondra, , Drumcondra; Ireland, t, Bed and breakfast, Private room, 2, 1, 1, 90.00
901088, Drumcondra; County Dublin; Ireland, Drumcondra, , Drumcondra; Ireland, t, House, Private room, 3, 1, 3, 150.00
922425, Dublin; County Dublin; Ireland, Old City, , Dublin; Ireland, t, Townhouse, Entire home/apt, 4, 2, 2, 134.00
928970, Dublin; Dublin; Ireland, Docklands, , Dublin; Ireland, t, Boat, Entire home/apt, 4, 1, 3, 130.00
929816, Dublin; Dublin; Ireland, Docklands, Dublin 2, Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 75.00
936063, Swords; Dublin; Ireland, , , Swords; Ireland, t, Townhouse, Private room, 10, 4, 5, 40.00
937977, Swords; Dublin; Ireland, , , Swords; Ireland, t, House, Private room, 10, 4, 5, 40.00
939866, Dublin; Dublin; Ireland, Docklands, Dublin 2, Dublin; Ireland, t, Apartment, Entire home/apt, 4, 2, 2, 170.00
990300, Rathmines; Dublin; Ireland, Dartry, , Rathmines; Ireland, t, Townhouse, Private room, 3, 2, 2, 65.00
998407, Donaghmede; Dublin; Ireland, Raheny, , Donaghmede; Ireland, t, Apartment, Entire home/apt, 2, 0, 1, 45.00
999963, Dublin; Leinster; Ireland, City Centre, 7, Dublin; Ireland, t, Apartment, Entire home/apt, 2, 0, 1, 415.00
1017861, Dublin; Dublin; Ireland, Pelletstown, , Dublin; Ireland, t, Townhouse, Private room, 3, 1, 2, 50.00
1053524, Dublin; Dublin; Ireland, Old City, , Dublin; Ireland, t, Apartment, Entire home/apt, 3, 1, 2, 105.00
1053992, Dublin; County Dublin; Ireland, Ballsbridge, , Dublin; Ireland, t, Apartment, Entire home/apt, 6, 2, 3, 140.00
1064692, Dublin; Dublin; Ireland, Georgian Quarter, , Dublin; Ireland, t, House, Private room, 1, 1, 1, 53.00
1066391, Dublin; Dublin; Ireland, Rathfarnham, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 80.00
1073487, Clonskeagh; Dublin; Ireland, Dundrum, , Clonskeagh; Ireland, t, House, Private room, 1, 1, 1, 45.00
1076514, Dublin; Dublin; Ireland, Trinity College, , Dublin; Ireland, t, Apartment, Entire home/apt, 4, 1, 2, 120.00
1076634, Dublin; Dublin; Ireland, Kimmage, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 50.00
1086416, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 100.00
1102379, Dublin; Dublin; Ireland, Ballsbridge, , Dublin; Ireland, f, Apartment, Entire home/apt, 4, 2, 2, 105.00
1131404, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, f, Condominium, Entire home/apt, 4, 1, 2, 120.00
