id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price_19q1, price_19q2, price_19q3, price_19q4, price_20q1, price_20q2, price_20q3
44077,  Churchtown;Ireland,  Churchtown,  Dublin14,  Churchtown;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 2, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
85148,  Templeogue;Dublin;Ireland,  Templeogue,  ,  Templeogue;Ireland,  t,  House,  Privateroom, 2, 1, 1, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0
85156,  Churchtown;Ireland,  Churchtown,  Dublin14,  Churchtown;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 1, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
97259,  Dublin;Dublin;Ireland,  Kilmainham,  8,  Dublin;Ireland,  t,  Apartment,  Privateroom, 2, 1, 1, 60.0, 60.0, 20.0, 119.72, 119.95, 124.54, 125.58
121030,  Dublin;Ireland,  Sandymount,  Dublin4,  Dublin;Ireland,  t,  House,  Privateroom, 2, 1, 1, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0
159889,  Dublin;Ireland,  Beaumont,  Dublin9,  Dublin;Ireland,  t,  House,  Privateroom, 1, 3, 6, 30.0, 29.333333333333332, 19.666666666666668, 29.0, 29.0, 29.0, 29.0
162809,  Dublin;Dublin;Ireland,  Blackrock,  ,  Dublin;Ireland,  f,  Townhouse,  Privateroom, 6, 2, 4, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0
165828,  Dublin;Ireland,  Inchicore,  Dublin8,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 5, 1, 1, 147.0, 147.0, 147.0, 147.0, 147.0, 147.0, 147.0
165829,  Dublin;Ireland,  Inchicore,  Dublin8,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 5, 1, 3, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0
178860,  Dublin;Ireland,  Portobello,  Dublin8,  Dublin;Ireland,  t,  House,  Privateroom, 2, 1, 1, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0
181823,  Dublin;Ireland,  Sandymount,  Dublin4,  Dublin;Ireland,  t,  House,  Privateroom, 2, 1, 1, 61.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0
200979,  Dalkey;Dublin;Ireland,  ,  ,  Dalkey;Ireland,  t,  House,  Entirehome/apt, 6, 2, 4, 113.59, 73.33333333333333, 220.0, 220.0, 220.0, 220.0, 220.0
237465,  Dublin;Ireland,  Raheny,  Dublin13,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 3, 1, 2, 42.5, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0
245893,  Lucan;CountyDublin;Ireland,  Clondalkin,  ,  Lucan;Ireland,  t,  House,  Privateroom, 2, 1, 1, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0
245903,  Lucan;CountyDublin;Ireland,  ,  ,  Lucan;Ireland,  t,  Bedandbreakfast,  Privateroom, 1, 1, 1, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0
246560,  Dublin;Dublin;Ireland,  Portobello,  ,  Dublin;Ireland,  t,  Townhouse,  Privateroom, 2, 1, 1, 59.0, 59.0, 59.0, 59.0, 59.0, 124.54, 125.58
254941,  Blackrock;Dublin;Ireland,  Blackrock,  ,  Blackrock;Ireland,  t,  House,  Privateroom, 2, 1, 1, 48.0, 48.666666666666664, 50.0, 50.0, 45.5, 41.0, 41.0
261248,  DunLaoghaire;Ireland,  ,  ,  DunLaoghaire;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 1, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0
266654,  Dublin;Ireland,  Finglas,  Dublin11,  Dublin;Ireland,  t,  House,  Privateroom, 1, 1, 1, 113.59, 21.333333333333332, 35.0, 33.0, 29.0, 29.0, 29.0
266856,  DunLaoghaire;Ireland,  ,  ,  DunLaoghaire;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 1, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0
266908,  DunLaoghaire;Ireland,  ,  ,  DunLaoghaire;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 2, 18.0, 36.0, 36.0, 119.72, 119.95, 124.54, 125.58
272650,  Dublin;Ireland,  Drumcondra,  Dublin9,  Dublin;Ireland,  t,  Townhouse,  Privateroom, 2, 1, 2, 87.5, 85.0, 56.666666666666664, 119.72, 119.95, 124.54, 125.58
275425,  Sandymount;Dublin;Ireland,  Sandymount,  ,  Sandymount;Ireland,  t,  House,  Entirehome/apt, 6, 2, 2, 350.0, 350.0, 325.0, 257.0, 248.0, 248.0, 248.0
286635,  Dublin;CountyDublin;Ireland,  Santry,  ,  Dublin;Ireland,  t,  Bedandbreakfast,  Privateroom, 3, 1, 3, 59.0, 59.0, 19.666666666666668, 119.72, 29.5, 59.0, 59.0
292757,  Dublin;Ireland,  Castleknock,  D15C6YT,  Dublin;Ireland,  f,  House,  Entirehome/apt, 9, 4, 5, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0
302554,  Dublin;CountyDublin;Ireland,  CityCentre,  Dublin7,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 5, 1, 3, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0
302634,  Dublin;CountyDublin;Ireland,  CityCentre,  Dublin7,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 2, 1, 2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
314639,  Dublin;CountyDublin;Ireland,  Santry,  Dublin9,  Dublin;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 1, 59.0, 59.0, 19.666666666666668, 119.72, 29.5, 59.0, 59.0
314640,  Dublin;CountyDublin;Ireland,  Santry,  Dublin9,  Dublin;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 2, 59.0, 59.0, 19.666666666666668, 119.72, 29.5, 59.0, 59.0
314641,  Dublin;CountyDublin;Ireland,  Santry,  Dublin9,  Dublin;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 1, 59.0, 59.0, 19.666666666666668, 119.72, 29.5, 59.0, 59.0
315698,  Irishtown;Dublin;Ireland,  Ringsend/Irishtown,  D4,  Irishtown;Ireland,  t,  Apartment,  Privateroom, 2, 1, 1, 44.0, 44.0, 44.0, 44.0, 50.0, 56.0, 56.0
333950,  Dublin;CountyDublin;Ireland,  OldCity,  Dublin8,  Dublin;Ireland,  t,  Townhouse,  Privateroom, 2, 1, 1, 49.0, 49.0, 56.333333333333336, 40.0, 60.0, 60.0, 60.0
345398,  Stillorgan;CountyDublin;Ireland,  Blackrock,  ,  Stillorgan;Ireland,  t,  House,  Privateroom, 2, 1, 1, 50.0, 50.0, 33.333333333333336, 50.0, 49.0, 48.0, 48.0
365854,  Dublin;CountyDublin;Ireland,  "NorthCityCentral/OConnellStreet",  Dublin1,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 3, 1, 1, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0
374792,  Dublin;CountyDublin;Ireland,  Inchicore,  Dublin8,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 4, 1, 1, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0
386860,  Dublin;CountyDublin;Ireland,  OldCity,  Dublin8,  Dublin;Ireland,  t,  House,  Entirehome/apt, 4, 2, 2, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0
393631,  Dublin;Dublin;Ireland,  EastWall,  ,  Dublin;Ireland,  t,  House,  Entirehome/apt, 6, 3, 3, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0
419987,  Dublin;CountyDublin;Ireland,  Cabra,  Dublin7,  Dublin;Ireland,  t,  Apartment,  Entirehome/apt, 6, 1, 3, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0
420297,  Churchtown;Ireland,  Churchtown,  Dublin14,  Churchtown;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 2, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
421239,  Glasnevin;Dublin;Ireland,  DublinIndustrialEstate,  D11,  Glasnevin;Ireland,  t,  Bedandbreakfast,  Privateroom, 2, 1, 2, 80.0, 88.33333333333333, 90.0, 90.0, 100.0, 124.54, 125.58
424596,  Dublin;CountyDublin;Ireland,  CityCentre,  ,  Dublin;Ireland,  t,  Loft,  Entirehome/apt, 3, 1, 1, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0
