entry_id, property_type, beds, location, price_19q1, price_19q3, price_19q4, price_20q1, price_20q2
5847,  All property types,  One bed,  Balbriggan; Dublin, 905.12, 902.23, 902.52, 897.82, 947.71
5848,  All property types,  One bed,  Blackrock; Dublin, 1414.62, 1444.12, 1454.63, 1458.24, 1479.01
5849,  All property types,  One bed,  Booterstown; Dublin, 1418.3, 1649.45, 1658.19, 1670.8, 1678.07
5853,  All property types,  One bed,  Donabate; Dublin, 948.67, 1015.5, 1024.2, 1042.38, 1059.64
5854,  All property types,  One bed,  Dun Laoghaire; Dublin, 1341.55, 1330.25, 1383.7, 1441.0, 1443.47
5859,  All property types,  One bed,  Lucan; Dublin, 1110.97, 932.97, 976.12, 994.76, 1001.91
5861,  All property types,  One bed,  Malahide; Dublin, 1378.0, 1416.96, 1466.47, 1470.29, 1458.17
5862,  All property types,  One bed,  Monkstown; Dublin, 1181.69, 1254.38, 1237.19, 1246.59, 1239.48
5864,  All property types,  One bed,  Portmarnock; Dublin, 1300.7, 1333.34, 1658.19, 1330.84, 1678.07
5872,  All property types,  One bed,  Stillorgan; Dublin, 1432.89, 1482.79, 1502.26, 1534.77, 1572.76
5873,  All property types,  One bed,  Swords; Dublin, 1124.44, 1145.54, 1145.11, 1161.83, 1167.5
5874,  All property types,  One bed,  Dublin 1, 1228.83, 1274.66, 1293.01, 1329.26, 1328.98
5875,  All property types,  One bed,  I.F.S.C.; Dublin 1, 1508.47, 1560.24, 1557.01, 1616.38, 1600.36
5876,  All property types,  One bed,  Parnell Street; Dublin 1, 1295.1, 1361.94, 1374.33, 1390.51, 1393.2
5878,  All property types,  One bed,  Summerhill; Dublin 1, 1597.39, 1649.45, 1658.19, 1670.8, 1442.81
5879,  All property types,  One bed,  Dublin 2, 1481.58, 1591.47, 1638.89, 1666.51, 1646.09
5886,  All property types,  One bed,  Pearse Street; Dublin 2, 1597.39, 1649.45, 1629.34, 1607.17, 1619.93
5889,  All property types,  One bed,  Townsend Street; Dublin 2, 1597.39, 1564.57, 1572.2, 1611.26, 1678.07
5890,  All property types,  One bed,  Dublin 3, 1144.52, 1191.06, 1211.36, 1260.59, 1270.06
5891,  All property types,  One bed,  Clonliffe; Dublin 3, 1597.39, 1649.45, 1658.19, 1670.8, 1277.92
5892,  All property types,  One bed,  Clontarf; Dublin 3, 1193.25, 1276.25, 1281.64, 1343.64, 1340.19
5893,  All property types,  One bed,  Drumcondra; Dublin 3, 1146.39, 1133.35, 1094.71, 1063.44, 1003.71
5894,  All property types,  One bed,  East Wall; Dublin 3, 1597.39, 1292.43, 1658.19, 1438.0, 1465.85
5896,  All property types,  One bed,  Fairview; Dublin 3, 995.93, 1014.68, 1079.92, 1148.11, 1187.42
5898,  All property types,  One bed,  North Strand; Dublin 3, 1153.92, 1162.21, 1195.8, 1203.07, 1678.07
5899,  All property types,  One bed,  Dublin 4, 1434.38, 1490.62, 1502.72, 1535.42, 1541.57
5900,  All property types,  One bed,  Ballsbridge; Dublin 4, 1471.27, 1512.67, 1523.98, 1531.65, 1526.73
