id,street,neighbourhood,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price_19_07,price_19_01,price_19_03,price_19_04,price_19_05,price_19_06,price_19_08,price_19_09,price_19_10,price_19_11,price_19_12,price_20_01,price_20_02,price_20_04,price_20_05,price_20_06,price_20_07
44077,Churchtown;Ireland,Churchtown,Dublin14,Churchtown;Ireland,t,Bedandbreakfast,Privateroom,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
85148,Templeogue;Dublin;Ireland,Templeogue,,Templeogue;Ireland,t,House,Privateroom,2,1,1,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
85156,Churchtown;Ireland,Churchtown,Dublin14,Churchtown;Ireland,t,Bedandbreakfast,Privateroom,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
97259,Dublin;Dublin;Ireland,Kilmainham,8,Dublin;Ireland,t,Apartment,Privateroom,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,0,0,0,0,0,0,0,0,0,0,0
121030,Dublin;Ireland,Sandymount,Dublin4,Dublin;Ireland,t,House,Privateroom,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
159889,Dublin;Ireland,Beaumont,Dublin9,Dublin;Ireland,t,House,Privateroom,1,3,6,30.00,30.00,30.00,28.00,30.00,30.00,0,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00
162809,Dublin;Dublin;Ireland,Blackrock,,Dublin;Ireland,f,Townhouse,Privateroom,6,2,4,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
165828,Dublin;Ireland,Inchicore,Dublin8,Dublin;Ireland,t,Apartment,Entirehome/apt,5,1,1,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00,147.00
165829,Dublin;Ireland,Inchicore,Dublin8,Dublin;Ireland,t,Apartment,Entirehome/apt,5,1,3,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00
178860,Dublin;Ireland,Portobello,Dublin8,Dublin;Ireland,t,House,Privateroom,2,1,1,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00
